%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter
1580429060314900969,1,0,,42.3437309265,-71.0871047974,56.9000015259,328080.96875,4690051.0,19,T
1580429061316360523,2,0,,42.3437309265,-71.0871047974,56.7999992371,328080.53125,4690051.0,19,T
1580429062307445027,3,0,,42.3437232971,-71.0871124268,56.5,328080.125,4690050.5,19,T
1580429063377506747,4,0,,42.3437194824,-71.0871276855,55.9000015259,328079.0,4690050.0,19,T
1580429064331134048,5,0,,42.3437232971,-71.0871429443,55.2999992371,328077.5,4690050.5,19,T
1580429065318074356,6,0,,42.3437232971,-71.0871582031,54.5999984741,328076.0,4690050.0,19,T
1580429066310364205,7,0,,42.3437232971,-71.0871810913,54.2000007629,328074.46875,4690050.0,19,T
1580429067317333192,8,0,,42.3437194824,-71.0871963501,53.5,328072.96875,4690050.0,19,T
1580429068395332734,9,0,,42.3437194824,-71.0872192383,53.2000007629,328071.46875,4690050.0,19,T
1580429069326456885,10,0,,42.3437194824,-71.0872344971,52.7000007629,328069.9375,4690050.0,19,T
1580429070327201962,11,0,,42.3437194824,-71.0872497559,52.2999992371,328068.4375,4690050.0,19,T
1580429071327234881,12,0,,42.3437156677,-71.087272644,51.9000015259,328066.90625,4690050.0,19,T
1580429072309835139,13,0,,42.3437156677,-71.0872879028,51.5,328065.40625,4690050.0,19,T
1580429073403408175,14,0,,42.3437194824,-71.087310791,51.2999992371,328063.90625,4690050.0,19,T
1580429074316582136,15,0,,42.3437156677,-71.0873260498,50.9000015259,328062.375,4690050.0,19,T
1580429075339783416,16,0,,42.3437194824,-71.0873413086,50.5999984741,328061.03125,4690050.0,19,T
1580429076342393122,17,0,,42.3437194824,-71.0873565674,50.4000015259,328059.65625,4690050.5,19,T
1580429077329309054,18,0,,42.3437232971,-71.0873794556,50.4000015259,328058.28125,4690050.5,19,T
1580429078425301526,19,0,,42.3437194824,-71.0873947144,50.0999984741,328056.90625,4690050.5,19,T
1580429079330449255,20,0,,42.3437194824,-71.0874099731,49.9000015259,328055.40625,4690050.5,19,T
1580429080343384519,21,0,,42.343711853,-71.0874252319,48.7000007629,328054.0,4690049.5,19,T
1580429081344027295,22,0,,42.3437080383,-71.0874404907,48.0,328052.75,4690049.0,19,T
1580429082326367853,23,0,,42.3437080383,-71.0874557495,47.0999984741,328051.5,4690049.0,19,T
1580429083397527256,24,0,,42.3437080383,-71.0874786377,46.5,328050.0,4690049.5,19,T
1580429084310008013,25,0,,42.3437080383,-71.0874938965,45.7999992371,328048.625,4690049.5,19,T
1580429085313366927,26,0,,42.3437080383,-71.0875091553,45.2999992371,328047.25,4690049.5,19,T
1580429086328514193,27,0,,42.3437080383,-71.0875244141,44.5,328045.875,4690049.5,19,T
1580429087310213375,28,0,,42.3437042236,-71.0875396729,43.2000007629,328044.5,4690049.0,19,T
1580429088402437611,29,0,,42.3437042236,-71.087562561,42.5,328043.125,4690049.0,19,T
1580429089344397190,30,0,,42.343711853,-71.0875778198,42.5999984741,328041.78125,4690049.5,19,T
1580429090330415356,31,0,,42.343711853,-71.0875930786,42.2999992371,328040.28125,4690050.0,19,T
1580429091312780095,32,0,,42.343711853,-71.0876083374,41.7999992371,328038.90625,4690050.0,19,T
1580429092311376967,33,0,,42.3437194824,-71.0876312256,42.2000007629,328037.40625,4690050.5,19,T
1580429093383374109,34,0,,42.3437232971,-71.0876464844,42.4000015259,328035.90625,4690051.5,19,T
1580429094321224751,35,0,,42.3437232971,-71.0876693726,42.0999984741,328034.40625,4690051.5,19,T
1580429095323639175,36,0,,42.3437232971,-71.0876846313,41.7999992371,328032.875,4690051.5,19,T
1580429096320668136,37,0,,42.3437271118,-71.0876998901,41.7999992371,328031.53125,4690052.0,19,T
1580429097309040281,38,0,,42.3437309265,-71.0877227783,41.7000007629,328030.03125,4690052.0,19,T
1580429098378774667,39,0,,42.3437309265,-71.0877380371,41.7000007629,328028.375,4690052.5,19,T
1580429099329165557,40,0,,42.3437385559,-71.0877609253,41.9000015259,328026.875,4690053.0,19,T
1580429100310617524,41,0,,42.3437423706,-71.0877761841,42.4000015259,328025.375,4690054.0,19,T
1580429101311564673,42,0,,42.34375,-71.0877914429,42.9000015259,328023.90625,4690054.5,19,T
1580429102310911900,43,0,,42.34375,-71.0878067017,42.5,328022.65625,4690055.0,19,T
1580429103382619689,44,0,,42.3437538147,-71.0878295898,42.2999992371,328021.3125,4690055.0,19,T
1580429104309641580,45,0,,42.3437614441,-71.0878448486,42.7999992371,328019.65625,4690056.0,19,T
1580429105310590229,46,0,,42.3437652588,-71.0878677368,42.7999992371,328018.15625,4690056.5,19,T
1580429106309909258,47,0,,42.3437652588,-71.0878829956,42.9000015259,328016.65625,4690056.5,19,T
1580429107317860765,48,0,,42.3437728882,-71.0878982544,43.0999984741,328015.3125,4690057.0,19,T
1580429108393104814,49,0,,42.3437767029,-71.0879211426,43.2999992371,328013.8125,4690057.5,19,T
1580429109311474967,50,0,,42.3437767029,-71.0879364014,43.5,328012.4375,4690058.0,19,T
1580429110310682136,51,0,,42.3437805176,-71.0879516602,43.5999984741,328011.0625,4690058.5,19,T
1580429111309889459,52,0,,42.343788147,-71.0879669189,43.9000015259,328009.71875,4690059.0,19,T
1580429112311722387,53,0,,42.3437919617,-71.0879821777,44.0999984741,328008.34375,4690059.5,19,T
