%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter
1580426841262395859,1,0,,42.3433685303,-71.0877685547,6.30000019073,328025.3125,4690012.0,19,T
1580426842261861380,2,0,,42.3433685303,-71.0877685547,5.80000019073,328025.1875,4690012.0,19,T
1580426843262734168,3,0,,42.3433685303,-71.0877685547,6.19999980927,328025.1875,4690012.0,19,T
1580426844262337403,4,0,,42.3433685303,-71.0877685547,6.30000019073,328025.3125,4690012.0,19,T
1580426845329495516,5,0,,42.3433685303,-71.0877685547,6.59999990463,328025.3125,4690012.0,19,T
1580426846261737568,6,0,,42.3433685303,-71.0877609253,7.0,328025.46875,4690012.0,19,T
1580426847261060030,7,0,,42.3433685303,-71.0877685547,7.0,328025.3125,4690012.0,19,T
1580426848261581026,8,0,,42.3433685303,-71.0877685547,7.0,328025.3125,4690012.0,19,T
1580426849262413228,9,0,,42.3433647156,-71.0877685547,7.09999990463,328025.3125,4690011.5,19,T
1580426850328283888,10,0,,42.3433647156,-71.0877685547,7.5,328025.3125,4690011.5,19,T
1580426851285947112,11,0,,42.3433647156,-71.0877685547,7.19999980927,328025.1875,4690012.0,19,T
1580426852263383290,12,0,,42.3433647156,-71.0877685547,6.5,328025.03125,4690012.0,19,T
1580426853263442075,13,0,,42.3433647156,-71.0877685547,6.5,328025.03125,4690012.0,19,T
1580426854263511070,14,0,,42.3433647156,-71.0877685547,6.5,328025.03125,4690012.0,19,T
1580426855330049873,15,0,,42.3433647156,-71.0877685547,6.5,328025.03125,4690012.0,19,T
1580426856261351357,16,0,,42.3433647156,-71.0877685547,6.5,328025.03125,4690012.0,19,T
1580426857262096902,17,0,,42.3433647156,-71.0877685547,6.5,328025.03125,4690012.0,19,T
1580426858261549209,18,0,,42.3433647156,-71.0877685547,6.5,328025.03125,4690012.0,19,T
1580426859260815585,19,0,,42.3433647156,-71.0877685547,6.5,328025.03125,4690012.0,19,T
1580426860328441828,20,0,,42.3433647156,-71.0877685547,6.5,328025.03125,4690012.0,19,T
1580426861262228738,21,0,,42.3433647156,-71.0877685547,6.5,328025.03125,4690012.0,19,T
1580426862262068256,22,0,,42.3433647156,-71.0877685547,6.5,328025.03125,4690012.0,19,T
1580426863262518838,23,0,,42.3433647156,-71.0877685547,6.5,328025.03125,4690012.0,19,T
1580426864261506678,24,0,,42.3433647156,-71.0877685547,6.5,328025.03125,4690012.0,19,T
1580426865327939643,25,0,,42.3433647156,-71.0877685547,6.5,328025.03125,4690012.0,19,T
1580426866262232855,26,0,,42.3433647156,-71.0877685547,6.5,328025.03125,4690012.0,19,T
1580426867262096447,27,0,,42.3433647156,-71.0877685547,6.5,328025.03125,4690012.0,19,T
1580426868262418713,28,0,,42.3433647156,-71.0877685547,6.5,328025.03125,4690012.0,19,T
1580426869263177141,29,0,,42.3433647156,-71.0877685547,6.5,328024.90625,4690012.0,19,T
1580426870328248333,30,0,,42.3433647156,-71.0877685547,6.5,328024.90625,4690012.0,19,T
1580426871261913343,31,0,,42.3433647156,-71.0877685547,6.5,328024.90625,4690012.0,19,T
1580426872262666059,32,0,,42.3433647156,-71.0877685547,6.5,328024.90625,4690012.0,19,T
1580426873267629379,33,0,,42.3433647156,-71.0877685547,6.5,328024.90625,4690012.0,19,T
1580426874261945115,34,0,,42.3433647156,-71.0877685547,6.5,328024.90625,4690012.0,19,T
1580426875328505862,35,0,,42.3433647156,-71.0877685547,6.5,328024.90625,4690012.0,19,T
1580426876261813264,36,0,,42.3433647156,-71.0877685547,6.5,328024.90625,4690012.0,19,T
1580426877262549222,37,0,,42.3433647156,-71.0877685547,6.5,328024.90625,4690012.0,19,T
1580426878265637600,38,0,,42.3433647156,-71.0877685547,6.5,328024.90625,4690012.0,19,T
1580426879299062141,39,0,,42.3433647156,-71.0877685547,6.5,328024.90625,4690012.0,19,T
1580426880367225082,40,0,,42.3433647156,-71.0877685547,6.5,328024.90625,4690012.0,19,T
1580426881317828727,41,0,,42.3433647156,-71.0877685547,6.5,328024.78125,4690012.0,19,T
1580426882299439255,42,0,,42.3433647156,-71.0877685547,6.5,328024.78125,4690012.0,19,T
1580426883298388123,43,0,,42.3433647156,-71.0877685547,6.5,328024.78125,4690012.0,19,T
1580426884263311588,44,0,,42.3433647156,-71.0877685547,6.5,328024.78125,4690012.0,19,T
1580426885329768854,45,0,,42.3433647156,-71.0877685547,6.5,328024.75,4690011.5,19,T
1580426886296761214,46,0,,42.3433647156,-71.0877685547,6.5,328024.75,4690011.5,19,T
1580426887261533441,47,0,,42.3433647156,-71.0877685547,6.5,328024.75,4690011.5,19,T
