%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1581180792034334632,1,0,,0.265605749903,-0.196347682533,-0.125569527574,-0.935485685047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001144,-0.000259,8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.086,0.084,-9.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180792089404539,2,0,,0.265034174985,-0.196070997967,-0.12488651211,-0.935797205029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000339,-0.000758,-0.000242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.087,0.097,-9.771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180792148914012,3,0,,0.264173447569,-0.196662156578,-0.122916353465,-0.936177310033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000863,-0.00041,-0.000872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103,0.075,-9.772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180792207569296,4,0,,0.263439054336,-0.196993808777,-0.123772418497,-0.936201737006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000552,-0.000668,0.000172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095,0.091,-9.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180792273660635,5,0,,0.263350380197,-0.198069700224,-0.12353714396,-0.936030739434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000452,-0.000783,-0.000196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089,0.092,-9.832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180792337622576,6,0,,0.263818362628,-0.198007906896,-0.123636163364,-0.935898947246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000604,0.001804,0.000148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082,0.07,-9.804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180792403603945,7,0,,0.263449382124,-0.197938000281,-0.124005143868,-0.935968853861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000144,0.001781,-0.000148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.086,0.074,-9.788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180792466488050,8,0,,0.26344425116,-0.197465929212,-0.123888796669,-0.936085412444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000336,-0.001063,-0.000693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074,0.074,-9.792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180792530108435,9,0,,0.262877378751,-0.197659312316,-0.123321924259,-0.936278795548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001043,-0.000119,-0.000874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089,0.085,-9.754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180792595552257,10,0,,0.262679588033,-0.197922090821,-0.122385583959,-0.936401649312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000635,0.000698,3.3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.096,0.111,-9.811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180792660149034,11,0,,0.26295371436,-0.198596004494,-0.121664836655,-0.936275941497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-05,5.2e-05,-8.3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.097,-9.785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180792723360993,12,0,,0.262688484447,-0.198866314094,-0.122618125038,-0.93616865183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000331,0.001593,-0.000537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.081,0.103,-9.787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
