%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1581180792032918626,1,0,,-0.1295,0.0978,0.5999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180792089422236,2,0,,-0.1338,0.099,0.6019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180792148945059,3,0,,-0.1295,0.0978,0.5999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180792207835341,4,0,,-0.1306,0.0989,0.6044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180792275190146,5,0,,-0.1317,0.0967,0.6054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180792337590593,6,0,,-0.1339,0.0945,0.6042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180792403504727,7,0,,-0.1306,0.0956,0.6066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180792466544152,8,0,,-0.1316,0.1,0.6032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180792530143354,9,0,,-0.1285,0.0955,0.6045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180792597152564,10,0,,-0.1339,0.0946,0.6076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180792659994987,11,0,,-0.1317,0.0978,0.6032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180792727369512,12,0,,-0.135,0.0923,0.6019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180792789865648,13,0,,-0.1338,0.0979,0.6064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180792858171240,14,0,,-0.1306,0.0989,0.6044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180792920306650,15,0,,-0.1306,0.0945,0.6044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180792984061546,16,0,,-0.1339,0.0957,0.6076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180793046438452,17,0,,-0.1307,0.0922,0.5999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180793116826685,18,0,,-0.1317,0.0934,0.6099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180793175884407,19,0,,-0.1317,0.0934,0.6043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180793237122435,20,0,,-0.1339,0.0934,0.6053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180793303246857,21,0,,-0.1305,0.1011,0.6043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180793366448837,22,0,,-0.1328,0.0967,0.6042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180793429762447,23,0,,-0.1318,0.0912,0.6066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180793493910684,24,0,,-0.1339,0.0923,0.6053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180793557608462,25,0,,-0.1307,0.0923,0.6055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180793620973376,26,0,,-0.1328,0.0979,0.6087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180793685345068,27,0,,-0.1295,0.0989,0.6033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180793748626281,28,0,,-0.1295,0.0967,0.6011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180793812336641,29,0,,-0.1295,0.0967,0.6044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180793877506441,30,0,,-0.1338,0.0979,0.6042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180793944314355,31,0,,-0.1284,0.1011,0.6033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180794009194263,32,0,,-0.1285,0.0933,0.6034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180794074975944,33,0,,-0.1317,0.0978,0.5998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180794136940704,34,0,,-0.1339,0.0912,0.6042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180794206522500,35,0,,-0.1307,0.0934,0.6044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180794267415078,36,0,,-0.1317,0.0967,0.6043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180794333611000,37,0,,-0.1306,0.0989,0.601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180794396303001,38,0,,-0.1317,0.0934,0.5998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180794459897347,39,0,,-0.1307,0.0923,0.6055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180794521722656,40,0,,-0.1327,0.1001,0.6065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180794586216088,41,0,,-0.1307,0.0934,0.6066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180794648990832,42,0,,-0.1328,0.0912,0.6031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180794715896198,43,0,,-0.1296,0.0945,0.6067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180794852476543,44,0,,-0.1317,0.0934,0.6054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180794921942949,45,0,,-0.1317,0.0967,0.6043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180794985376949,46,0,,-0.1274,0.0922,0.6034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180795050472818,47,0,,-0.1306,0.0989,0.601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180795102345302,48,0,,-0.1296,0.0933,0.6033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180795166847786,49,0,,-0.1285,0.09,0.6056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180795228990846,50,0,,-0.1317,0.0934,0.6054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180795288646805,51,0,,-0.1306,0.0989,0.6021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180795351245174,52,0,,-0.1294,0.1022,0.5988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581180795411681144,53,0,,-0.1317,0.0956,0.6066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
