%time,field.header.seq,field.header.stamp,field.header.frame_id,field.Latitude,field.Longitude,field.Altitude,field.Easting,field.Northing,field.Time,field.Zone,field.Fix,field.Letter
1582926685310477614,1,1582926685309961080,gps,42.3390023317,-71.0845301033,7.739,328279.919279,4689520.76717,215125.2,19,5,T
1582926685511496310,2,1582926685510924100,gps,42.3390013233,-71.0845307233,7.69,328279.865458,4689520.65645,215125.4,19,5,T
1582926685706214575,3,1582926685705358982,gps,42.3390002283,-71.0845316783,7.633,328279.783802,4689520.53679,215125.6,19,5,T
1582926685912419215,4,1582926685911950111,gps,42.3389992183,-71.0845326967,7.617,328279.697161,4689520.4267,215125.8,19,5,T
1582926686116915629,5,1582926686116257905,gps,42.3389980017,-71.084534165,7.559,328279.572885,4689520.29456,215126.0,19,5,T
1582926686312835668,6,1582926686312134027,gps,42.338996985,-71.0845356083,7.54,328279.451213,4689520.18458,215126.2,19,5,T
1582926686505384399,7,1582926686504688978,gps,42.3389958217,-71.08453703,7.497,328279.330927,4689520.05827,215126.4,19,5,T
1582926686710737697,8,1582926686710187911,gps,42.338994465,-71.084538495,7.451,328279.206545,4689519.91058,215126.6,19,5,T
1582926686909060680,9,1582926686908613920,gps,42.33899305,-71.0845398933,7.41,328279.087496,4689519.75628,215126.8,19,5,T
1582926687105711884,10,1582926687105034112,gps,42.338991715,-71.0845417467,7.369,328278.931181,4689519.61179,215127.0,19,5,T
1582926687308898838,11,1582926687308501958,gps,42.3389902867,-71.0845435783,7.326,328278.776396,4689519.45688,215127.2,19,5,T
1582926687504005200,12,1582926687503561019,gps,42.3389889717,-71.084545325,7.317,328278.628923,4689519.31439,215127.4,19,5,T
1582926687709111232,13,1582926687708589076,gps,42.338987375,-71.0845471467,7.24,328278.474505,4689519.14077,215127.6,19,5,T
1582926687903855338,14,1582926687903374910,gps,42.33898566,-71.0845488583,7.179,328278.328826,4689518.95379,215127.8,19,5,T
1582926688107520968,15,1582926688106909036,gps,42.3389841683,-71.0845506233,7.164,328278.179362,4689518.79171,215128.0,19,5,T
1582926688308780628,16,1582926688308393001,gps,42.3389825717,-71.0845525933,7.096,328278.012723,4689518.61839,215128.2,19,5,T
1582926688501713626,17,1582926688501257896,gps,42.3389811067,-71.0845545433,7.083,328277.848091,4689518.45965,215128.4,19,5,T
1582926688708413637,18,1582926688707237958,gps,42.3389796067,-71.0845564267,7.064,328277.688855,4689518.29689,215128.6,19,5,T
1582926688913911314,19,1582926688913192987,gps,42.3389779183,-71.084558135,7.016,328277.543523,4689518.11287,215128.8,19,5,T
1582926689107853251,20,1582926689107372045,gps,42.33897635,-71.084559775,7.022,328277.404148,4689517.94203,215129.0,19,5,T
1582926689299900701,21,1582926689299468040,gps,42.338974985,-71.0845615033,6.992,328277.258049,4689517.79395,215129.2,19,5,T
1582926689504143458,22,1582926689503714084,gps,42.3389733183,-71.0845633933,6.92,328277.09781,4689517.61269,215129.4,19,5,T
1582926689707849212,23,1582926689707366943,gps,42.3389715683,-71.0845653517,6.932,328276.931716,4689517.42232,215129.6,19,5,T
1582926689903381149,24,1582926689902353048,gps,42.3389698267,-71.0845672,6.911,328276.774705,4689517.23266,215129.8,19,5,T
1582926690117644896,25,1582926690116661071,gps,42.338967865,-71.0845689667,6.853,328276.623824,4689517.0184,215130.0,19,5,T
1582926690302837095,26,1582926690302294969,gps,42.3389661833,-71.0845708883,6.867,328276.460936,4689516.83554,215130.2,19,5,T
1582926690506573006,27,1582926690506155014,gps,42.3389644733,-71.0845727,6.825,328276.307033,4689516.64932,215130.4,19,5,T
1582926690709502168,28,1582926690709089040,gps,42.338962665,-71.0845746017,6.794,328276.145447,4689516.45236,215130.6,19,5,T
1582926690907889077,29,1582926690907458066,gps,42.3389609067,-71.0845764033,6.791,328275.992236,4689516.26075,215130.8,19,5,T
1582926691110189740,30,1582926691109622955,gps,42.3389591167,-71.084578555,6.75,328275.810105,4689516.06633,215131.0,19,5,T
