%time,field.header.seq,field.header.stamp,field.header.frame_id,field.Latitude,field.Longitude,field.Altitude,field.Easting,field.Northing,field.Time,field.Zone,field.Fix,field.Letter
1582924527677478640,1,1582924527676975965,gps,42.3372341733,-71.0869666767,14.739,328074.371322,4689329.35035,211527.6,19,5,T
1582924527860228716,2,1582924527859817981,gps,42.337234175,-71.0869667233,14.744,328074.367482,4689329.35063,211527.8,19,5,T
1582924528067655378,3,1582924528066890001,gps,42.33723422,-71.0869667183,14.739,328074.368016,4689329.35561,211528.0,19,5,T
1582924528265293141,4,1582924528264760971,gps,42.33723419,-71.0869667967,14.736,328074.361481,4689329.35244,211528.2,19,5,T
1582924528465644658,5,1582924528465255975,gps,42.3372340633,-71.0869667167,14.708,328074.367727,4689329.33821,211528.4,19,5,T
1582924528661707114,6,1582924528661322116,gps,42.337233835,-71.0869665917,14.684,328074.377403,4689329.31261,211528.6,19,5,T
1582924528861970056,7,1582924528861426115,gps,42.33723363,-71.0869661983,14.674,328074.409248,4689329.28905,211528.8,19,5,T
1582924529060645256,8,1582924529060220003,gps,42.33723317,-71.0869657467,14.658,328074.445205,4689329.23706,211529.0,19,5,T
1582924529267520619,9,1582924529267152070,gps,42.3372326017,-71.0869654083,14.664,328074.471529,4689329.17326,211529.2,19,5,T
1582924529470405166,10,1582924529469789028,gps,42.3372321167,-71.0869651117,14.664,328074.494648,4689329.11881,211529.4,19,5,T
1582924529665060767,11,1582924529664547920,gps,42.3372314933,-71.0869642133,14.629,328074.566958,4689329.04777,211529.6,19,5,T
1582924529863745963,12,1582924529863343000,gps,42.3372308233,-71.0869633133,14.606,328074.639277,4689328.97156,211529.8,19,5,T
1582924530086804164,13,1582924530086325883,gps,42.3372299817,-71.0869622767,14.57,328074.722388,4689328.876,211530.0,19,5,T
1582924530265175539,14,1582924530264728069,gps,42.3372290167,-71.0869613983,14.566,328074.792119,4689328.76707,211530.2,19,5,T
1582924530466210318,15,1582924530465822935,gps,42.337227705,-71.0869601533,14.503,328074.891113,4689328.6189,211530.4,19,5,T
1582924530664568253,16,1582924530664179086,gps,42.337226335,-71.0869589767,14.504,328074.984318,4689328.46439,211530.6,19,5,T
1582924530864149179,17,1582924530863784074,gps,42.33722533,-71.0869581717,14.473,328075.047898,4689328.35117,211530.8,19,5,T
1582924531062235440,18,1582924531061836957,gps,42.3372236683,-71.0869566033,14.409,328075.172575,4689328.16348,211531.0,19,5,T
1582924531272854567,19,1582924531272449016,gps,42.3372222417,-71.0869551233,14.402,328075.290616,4689328.00207,211531.2,19,5,T
1582924531461866754,20,1582924531461433887,gps,42.3372205367,-71.0869535967,14.361,328075.411742,4689327.80965,211531.4,19,5,T
1582924531662021361,21,1582924531661614894,gps,42.3372187367,-71.0869521383,14.291,328075.52698,4689327.60683,211531.6,19,5,T
1582924531863827935,22,1582924531863286972,gps,42.3372169117,-71.0869507583,14.282,328075.635697,4689327.40139,211531.8,19,5,T
1582924532065324965,23,1582924532064896106,gps,42.33721542,-71.0869492567,14.245,328075.755345,4689327.23271,211532.0,19,5,T
1582924532265354217,24,1582924532264945030,gps,42.337213815,-71.0869476867,14.194,328075.880314,4689327.05132,211532.2,19,5,T
1582924532468321023,25,1582924532467767953,gps,42.33721217,-71.08694627,14.193,328075.992542,4689326.86579,211532.4,19,5,T
1582924532667672665,26,1582924532667222023,gps,42.3372105767,-71.086945045,14.19,328076.08912,4689326.68638,211532.6,19,5,T
1582924532866359684,27,1582924532865818023,gps,42.3372086683,-71.0869435283,14.121,328076.208869,4689326.47141,211532.8,19,5,T
1582924533061627229,28,1582924533061096906,gps,42.337207025,-71.0869422667,14.158,328076.308332,4689326.28638,211533.0,19,5,T
1582924533262056220,29,1582924533261514902,gps,42.33720596,-71.086940685,14.156,328076.435734,4689326.16492,211533.2,19,5,T
1582924533463224979,30,1582924533462519884,gps,42.3372046133,-71.08693916,14.093,328076.557699,4689326.0123,211533.4,19,5,T
1582924533664828458,31,1582924533664328098,gps,42.3372031383,-71.086937865,14.14,328076.660367,4689325.84589,211533.6,19,5,T
1582924533867125979,32,1582924533866579055,gps,42.3372017283,-71.086936165,14.091,328076.796577,4689325.68589,211533.8,19,5,T
1582924534066394716,33,1582924534066008090,gps,42.337200295,-71.086934735,14.091,328076.910481,4689325.52384,211534.0,19,5,T
1582924534268296123,34,1582924534267935037,gps,42.3371989567,-71.086933095,14.09,328077.041943,4689325.37191,211534.2,19,5,T
1582924534469033845,35,1582924534468528032,gps,42.3371971733,-71.08693155,14.073,328077.164367,4689325.17076,211534.4,19,5,T
1582924534669102541,36,1582924534668672084,gps,42.3371952917,-71.086929865,14.074,328077.298056,4689324.95841,211534.6,19,5,T
1582924534862243614,37,1582924534861816883,gps,42.3371933167,-71.0869284317,14.03,328077.410758,4689324.7362,211534.8,19,5,T
1582924535070034001,38,1582924535069641113,gps,42.3371917617,-71.08692693,14.031,328077.530234,4689324.56049,211535.0,19,5,T
1582924535269152031,39,1582924535268666028,gps,42.3371903033,-71.0869254417,14.031,328077.648874,4689324.39555,211535.2,19,5,T
1582924535473727388,40,1582924535473189115,gps,42.3371886117,-71.0869237917,14.029,328077.780198,4689324.20436,211535.4,19,5,T
1582924535663243662,41,1582924535662684917,gps,42.3371866617,-71.0869222017,13.982,328077.905875,4689323.98462,211535.6,19,5,T
1582924535866418276,42,1582924535865888118,gps,42.3371847017,-71.08692087,13.952,328078.010241,4689323.76428,211535.8,19,5,T
1582924536068272839,43,1582924536067835092,gps,42.3371829,-71.0869196167,13.951,328078.108586,4689323.56169,211536.0,19,5,T
1582924536264646381,44,1582924536264238119,gps,42.3371811983,-71.0869181817,13.921,328078.22217,4689323.36983,211536.2,19,5,T
1582924536464820072,45,1582924536464287042,gps,42.3371794233,-71.08691681,13.933,328078.330337,4689323.16995,211536.4,19,5,T
1582924536663704252,46,1582924536663217067,gps,42.3371779533,-71.0869155867,13.902,328078.427114,4689323.00425,211536.6,19,5,T
1582924536865278834,47,1582924536864883899,gps,42.33717636,-71.0869141917,13.857,328078.537698,4689322.8245,211536.8,19,5,T
1582924537069387898,48,1582924537068840980,gps,42.337174495,-71.0869126567,13.82,328078.659075,4689322.6143,211537.0,19,5,T
1582924537265951733,49,1582924537265511035,gps,42.3371727233,-71.0869111633,13.8,328078.777274,4689322.41455,211537.2,19,5,T
1582924537466153914,50,1582924537465713024,gps,42.3371711283,-71.0869095033,13.727,328078.909685,4689322.23408,211537.4,19,5,T
1582924537666945528,51,1582924537666593074,gps,42.3371694267,-71.0869079683,13.756,328079.031507,4689322.04202,211537.6,19,5,T
1582924537869575770,52,1582924537869194030,gps,42.33716787,-71.08690633,13.757,328079.162237,4689321.86586,211537.8,19,5,T
1582924538070372785,53,1582924538069856882,gps,42.3371662633,-71.0869045467,13.693,328079.304777,4689321.68384,211538.0,19,5,T
1582924538258207676,54,1582924538257824897,gps,42.3371649317,-71.0869029483,13.738,328079.432826,4689321.53274,211538.2,19,5,T
1582924538468724124,55,1582924538468197107,gps,42.3371633517,-71.0869013283,13.668,328079.561982,4689321.35402,211538.4,19,5,T
1582924538668341564,56,1582924538667926073,gps,42.3371615367,-71.0868994667,13.612,328079.710408,4689321.14871,211538.6,19,5,T
1582924538869442928,57,1582924538868882894,gps,42.3371598433,-71.0868977983,13.657,328079.843238,4689320.95731,211538.8,19,5,T
1582924539069167260,58,1582924539068747997,gps,42.337158315,-71.0868960767,13.646,328079.980911,4689320.78412,211539.0,19,5,T
1582924539270316333,59,1582924539269659042,gps,42.33715683,-71.0868942967,13.556,328080.123508,4689320.61562,211539.2,19,5,T
1582924539471339681,60,1582924539470592021,gps,42.33715523,-71.08689268,13.602,328080.252335,4689320.43468,211539.4,19,5,T
1582924539667213497,61,1582924539666779041,gps,42.337153475,-71.0868910283,13.527,328080.383624,4689320.23646,211539.6,19,5,T
1582924539866318008,62,1582924539865794897,gps,42.3371516983,-71.08688934,13.51,328080.517874,4689320.03576,211539.8,19,5,T
1582924540068986430,63,1582924540068483114,gps,42.33715003,-71.0868875883,13.518,328080.657637,4689319.84697,211540.0,19,5,T
