%time,field.header.seq,field.header.stamp,field.header.frame_id,field.Latitude,field.Longitude,field.Altitude,field.Easting,field.Northing,field.Time,field.Zone,field.Fix,field.Letter
1582926810904710129,537,1582926810904030084,gps,42.3389889667,-71.084452265,0.79,328286.295357,4689519.12589,215330.8,19,5,T
1582926811097060656,538,1582926811096626996,gps,42.338988975,-71.08445225,0.789,328286.296615,4689519.12679,215331.0,19,5,T
1582926811302817768,539,1582926811302407026,gps,42.33898899,-71.0844522417,0.787,328286.297342,4689519.12844,215331.2,19,5,T
1582926811500115105,540,1582926811499566078,gps,42.3389889867,-71.084452235,0.784,328286.297883,4689519.12805,215331.4,19,5,T
1582926811703564613,541,1582926811702982902,gps,42.3389890033,-71.084452225,0.784,328286.298752,4689519.12988,215331.6,19,5,T
1582926811899278905,542,1582926811898715972,gps,42.3389890167,-71.0844522283,0.786,328286.298513,4689519.13137,215331.8,19,5,T
1582926812104919675,543,1582926812104352951,gps,42.3389890433,-71.0844522283,0.776,328286.298586,4689519.13433,215332.0,19,5,T
1582926812301183832,544,1582926812300623893,gps,42.3389890367,-71.0844522367,0.778,328286.297881,4689519.13361,215332.2,19,5,T
1582926812505065858,545,1582926812504616022,gps,42.3389890483,-71.08445224,0.771,328286.297639,4689519.13491,215332.4,19,5,T
1582926812700707833,546,1582926812700148105,gps,42.338989075,-71.0844522433,0.77,328286.297437,4689519.13788,215332.6,19,5,T
1582926812903915816,547,1582926812903374910,gps,42.3389890583,-71.084452225,0.768,328286.298901,4689519.13599,215332.8,19,5,T
1582926813097914680,548,1582926813097460031,gps,42.3389890567,-71.084452245,0.773,328286.297249,4689519.13585,215333.0,19,5,T
1582926813305357524,549,1582926813304709911,gps,42.3389890517,-71.0844522417,0.766,328286.29751,4689519.13528,215333.2,19,5,T
1582926813497395330,550,1582926813496957063,gps,42.3389890733,-71.0844521967,0.777,328286.301276,4689519.1376,215333.4,19,5,T
1582926813700901671,551,1582926813700345039,gps,42.33898907,-71.0844522233,0.775,328286.299071,4689519.13728,215333.6,19,5,T
1582926813896943417,552,1582926813896497011,gps,42.3389890583,-71.0844522433,0.766,328286.297391,4689519.13603,215333.8,19,5,T
