%time,field.header.seq,field.header.stamp,field.header.frame_id,field.Latitude,field.Longitude,field.Altitude,field.Easting,field.Northing,field.Time,field.Zone,field.Fix,field.Letter
1582924646675743284,465,1582924646675235033,gps,42.3372482,-71.086987335,6.277,328072.707631,4689330.94967,211726.6,19,5,T
1582924646865478512,466,1582924646865056037,gps,42.337248255,-71.0869870467,6.218,328072.731535,4689330.9552,211726.8,19,5,T
1582924647079251711,467,1582924647078757047,gps,42.3372482867,-71.0869867133,6.197,328072.759083,4689330.95804,211727.0,19,5,T
1582924647270762106,468,1582924647270103931,gps,42.3372483483,-71.0869864317,6.157,328072.782456,4689330.96432,211727.2,19,5,T
1582924647473396310,469,1582924647472827911,gps,42.33724837,-71.08698618,6.145,328072.803248,4689330.96621,211727.4,19,5,T
1582924647676475872,470,1582924647675877094,gps,42.3372483733,-71.0869858917,6.103,328072.827011,4689330.966,211727.6,19,5,T
1582924647868819580,471,1582924647868392944,gps,42.33724843,-71.0869856983,6.081,328072.843093,4689330.9719,211727.8,19,5,T
1582924648072646046,472,1582924648072066068,gps,42.3372484483,-71.0869854267,6.056,328072.865524,4689330.97339,211728.0,19,5,T
1582924648274772518,473,1582924648274332046,gps,42.3372483783,-71.08698498,6.067,328072.902131,4689330.96471,211728.2,19,5,T
1582924648470096923,474,1582924648469551086,gps,42.3372483767,-71.0869846483,6.061,328072.929451,4689330.96386,211728.4,19,5,T
1582924648673034540,475,1582924648672605991,gps,42.3372483733,-71.086984345,6.006,328072.954432,4689330.96287,211728.6,19,5,T
1582924648876667193,476,1582924648876197099,gps,42.33724832,-71.086983885,5.988,328072.992183,4689330.95602,211728.8,19,5,T
1582924649070964342,477,1582924649069968938,gps,42.3372483083,-71.0869834967,5.975,328073.024144,4689330.95394,211729.0,19,5,T
1582924649273513469,478,1582924649273088932,gps,42.3372482967,-71.0869831717,5.947,328073.050887,4689330.95199,211729.2,19,5,T
1582924649474849908,479,1582924649474443912,gps,42.33724833,-71.0869828417,5.93,328073.078164,4689330.95502,211729.4,19,5,T
1582924649668741142,480,1582924649668184041,gps,42.3372483583,-71.0869826217,5.87,328073.096366,4689330.95772,211729.6,19,5,T
1582924649873918473,481,1582924649873368024,gps,42.33724841,-71.0869823283,5.86,328073.120673,4689330.96287,211729.8,19,5,T
1582924650066910483,482,1582924650066447019,gps,42.3372484883,-71.08698202,5.836,328073.146288,4689330.97094,211730.0,19,5,T
1582924650271065392,483,1582924650269221067,gps,42.3372485333,-71.0869817917,5.819,328073.165222,4689330.97548,211730.2,19,5,T
1582924650471309900,484,1582924650470771074,gps,42.3372486817,-71.086981585,5.803,328073.182652,4689330.99153,211730.4,19,5,T
1582924650672976591,485,1582924650672508955,gps,42.33724876,-71.0869813433,5.813,328073.202775,4689330.99974,211730.6,19,5,T
1582924650874927290,486,1582924650874516010,gps,42.3372488583,-71.0869811517,5.797,328073.218833,4689331.01027,211730.8,19,5,T
1582924651075032772,487,1582924651074619054,gps,42.3372488983,-71.0869808467,5.82,328073.244069,4689331.0141,211731.0,19,5,T
1582924651274249390,488,1582924651273825883,gps,42.3372489767,-71.0869804667,5.826,328073.275589,4689331.02203,211731.2,19,5,T
1582924651477560582,489,1582924651477128028,gps,42.3372490583,-71.0869801833,5.791,328073.299153,4689331.03052,211731.4,19,5,T
1582924651671406737,490,1582924651670877933,gps,42.3372491317,-71.086979945,5.771,328073.318988,4689331.03818,211731.6,19,5,T
1582924651877722382,491,1582924651877300024,gps,42.3372491967,-71.0869796767,5.767,328073.341272,4689331.04486,211731.8,19,5,T
1582924652070575233,492,1582924652070128917,gps,42.3372491833,-71.08697923,5.76,328073.378034,4689331.04248,211732.0,19,5,T
1582924652274082390,493,1582924652273366928,gps,42.3372493683,-71.0869790383,5.833,328073.394328,4689331.06263,211732.2,19,5,T
1582924652474518180,494,1582924652474052906,gps,42.3372493033,-71.08697879,5.785,328073.41461,4689331.05491,211732.4,19,5,T
1582924652675008247,495,1582924652674501895,gps,42.3372493383,-71.0869786267,5.753,328073.428161,4689331.05847,211732.6,19,5,T
1582924652868029613,496,1582924652867532014,gps,42.33724944,-71.0869785033,5.738,328073.438599,4689331.06951,211732.8,19,5,T
1582924653077125569,497,1582924653076689004,gps,42.3372494967,-71.086978385,5.718,328073.448502,4689331.07556,211733.0,19,5,T
1582924653267546883,498,1582924653267144918,gps,42.3372495117,-71.08697826,5.704,328073.458841,4689331.07697,211733.2,19,5,T
1582924653471932017,499,1582924653471373081,gps,42.33724959,-71.086978095,5.69,328073.472648,4689331.08534,211733.4,19,5,T
1582924653673220681,500,1582924653672709941,gps,42.3372496033,-71.0869779283,5.688,328073.486415,4689331.08648,211733.6,19,5,T
1582924653875307121,501,1582924653874830007,gps,42.3372496567,-71.0869779517,5.652,328073.484638,4689331.09245,211733.8,19,5,T
1582924654065671116,502,1582924654065119981,gps,42.3372496133,-71.08697765,5.708,328073.509372,4689331.08703,211734.0,19,5,T
1582924654274675359,503,1582924654274271965,gps,42.337249675,-71.0869775583,5.69,328073.517092,4689331.09369,211734.2,19,5,T
1582924654466902619,504,1582924654466207027,gps,42.337249715,-71.08697745,5.668,328073.526126,4689331.09791,211734.4,19,5,T
1582924654667893888,505,1582924654667262077,gps,42.33724975,-71.0869773383,5.65,328073.535421,4689331.10158,211734.6,19,5,T
1582924654871658684,506,1582924654871211051,gps,42.3372497883,-71.0869771867,5.631,328073.54802,4689331.10553,211734.8,19,5,T
1582924655076567367,507,1582924655076011896,gps,42.3372498533,-71.0869770483,5.632,328073.559594,4689331.11246,211735.0,19,5,T
1582924655267736983,508,1582924655267209053,gps,42.33724993,-71.0869769533,5.609,328073.56763,4689331.12078,211735.2,19,5,T
1582924655469234825,509,1582924655468797922,gps,42.337250005,-71.0869767867,5.607,328073.581565,4689331.12878,211735.4,19,5,T
1582924655672454674,510,1582924655671924114,gps,42.3372500567,-71.0869766033,5.612,328073.596809,4689331.13414,211735.6,19,5,T
1582924655874757282,511,1582924655874171018,gps,42.33725017,-71.0869764533,5.625,328073.609476,4689331.14642,211735.8,19,5,T
1582924656076545069,512,1582924656076141119,gps,42.3372502767,-71.086976335,5.61,328073.619515,4689331.15803,211736.0,19,5,T
1582924656273764182,513,1582924656273248910,gps,42.337250415,-71.0869762367,5.602,328073.627993,4689331.17319,211736.2,19,5,T
1582924656474925683,514,1582924656474416971,gps,42.33725049,-71.0869760367,5.622,328073.644674,4689331.18112,211736.4,19,5,T
1582924656673946778,515,1582924656673367023,gps,42.3372506183,-71.0869759117,5.616,328073.655322,4689331.19511,211736.6,19,5,T
1582924656873198524,516,1582924656872664928,gps,42.3372507483,-71.0869757367,5.639,328073.670094,4689331.20919,211736.8,19,5,T
1582924657071215144,517,1582924657070692062,gps,42.3372508717,-71.0869755633,5.657,328073.68471,4689331.22254,211737.0,19,5,T
1582924657272023514,518,1582924657271121025,gps,42.3372510467,-71.086975415,5.664,328073.697407,4689331.24167,211737.2,19,5,T
1582924657475112102,519,1582924657474060058,gps,42.3372511533,-71.0869752667,5.658,328073.709918,4689331.25322,211737.4,19,5,T
1582924657666476831,520,1582924657665942907,gps,42.33725128,-71.0869750783,5.678,328073.725779,4689331.2669,211737.6,19,5,T
1582924657868448252,521,1582924657867899894,gps,42.3372514233,-71.0869748583,5.694,328073.744294,4689331.28237,211737.8,19,5,T
1582924658067500652,522,1582924658066950082,gps,42.3372515767,-71.0869746483,5.712,328073.762012,4689331.29897,211738.0,19,5,T
1582924658268470016,523,1582924658267914056,gps,42.3372517183,-71.0869744083,5.722,328073.782171,4689331.31422,211738.2,19,5,T
1582924658468375883,524,1582924658467833042,gps,42.33725184,-71.0869742317,5.724,328073.797057,4689331.32737,211738.4,19,5,T
1582924658669443689,525,1582924658668876886,gps,42.3372519367,-71.086974025,5.749,328073.814346,4689331.33769,211738.6,19,5,T
1582924658869059730,526,1582924658868513107,gps,42.3372520367,-71.0869738333,5.764,328073.830409,4689331.34841,211738.8,19,5,T
1582924659067680847,527,1582924659067270994,gps,42.3372521317,-71.0869736617,5.787,328073.84481,4689331.35861,211739.0,19,5,T
1582924659270136791,528,1582924659269303083,gps,42.337252245,-71.0869734767,5.789,328073.86036,4689331.37082,211739.2,19,5,T
1582924659471312422,529,1582924659470776081,gps,42.3372523467,-71.086973215,5.828,328073.882195,4689331.38158,211739.4,19,5,T
1582924659668045031,530,1582924659667362928,gps,42.3372524483,-71.0869730617,5.851,328073.895104,4689331.39256,211739.6,19,5,T
1582924659870189782,531,1582924659869421005,gps,42.33725257,-71.0869729083,5.857,328073.908068,4689331.40576,211739.8,19,5,T
1582924660072659286,532,1582924660072134971,gps,42.337252665,-71.0869727783,5.858,328073.919037,4689331.41604,211740.0,19,5,T
1582924660273241529,533,1582924660272605895,gps,42.337252745,-71.0869726067,5.887,328073.933397,4689331.42458,211740.2,19,5,T
1582924660470718974,534,1582924660470176935,gps,42.337252835,-71.08697244,5.897,328073.947373,4689331.43424,211740.4,19,5,T
1582924660670656990,535,1582924660669871091,gps,42.3372529433,-71.0869722717,5.911,328073.961536,4689331.44593,211740.6,19,5,T
1582924660870994691,536,1582924660870412111,gps,42.3372530083,-71.0869721267,5.905,328073.973659,4689331.45285,211740.8,19,5,T
1582924661073332321,537,1582924661072813034,gps,42.33725307,-71.08697199,5.943,328073.985086,4689331.45942,211741.0,19,5,T
