%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.fix_quality,field.time,field.zone,field.letter
1582918354294438717,1,0,,42.3372840881,-71.0869293213,-12.6730003357,328077.65625,4689335.0,5.0,193234.203125,19,T
1582918354487714496,2,0,,42.3372840881,-71.0869293213,-12.642999649,328077.625,4689335.0,5.0,193234.40625,19,T
1582918354706367320,3,0,,42.3372840881,-71.0869293213,-12.6040000916,328077.625,4689334.5,5.0,193234.59375,19,T
1582918354899836933,4,0,,42.3372840881,-71.0869293213,-12.5769996643,328077.625,4689334.5,5.0,193234.796875,19,T
1582918355093162987,5,0,,42.3372840881,-71.0869293213,-12.5690002441,328077.65625,4689334.5,5.0,193235.0,19,T
1582918355294286689,6,0,,42.3372840881,-71.0869293213,-12.545999527,328077.65625,4689335.0,5.0,193235.203125,19,T
1582918355495673794,7,0,,42.3372840881,-71.0869293213,-12.5279998779,328077.65625,4689334.5,5.0,193235.40625,19,T
1582918355707049356,8,0,,42.3372840881,-71.0869293213,-12.5109996796,328077.65625,4689334.5,5.0,193235.59375,19,T
1582918355898931070,9,0,,42.3372840881,-71.0869293213,-12.4960002899,328077.6875,4689334.5,5.0,193235.796875,19,T
1582918356098915938,10,0,,42.3372840881,-71.0869293213,-12.5069999695,328077.6875,4689334.5,5.0,193236.0,19,T
1582918356299356811,11,0,,42.3372840881,-71.0869293213,-12.5270004272,328077.71875,4689334.5,5.0,193236.203125,19,T
1582918356502383676,12,0,,42.3372840881,-71.0869293213,-12.5340003967,328077.78125,4689334.5,5.0,193236.40625,19,T
1582918356706135497,13,0,,42.3372802734,-71.0869293213,-12.5369997025,328077.875,4689334.5,5.0,193236.59375,19,T
1582918356897174970,14,0,,42.3372802734,-71.0869216919,-12.4569997787,328077.9375,4689334.5,5.0,193236.796875,19,T
1582918357097202443,15,0,,42.3372802734,-71.0869216919,-12.4759998322,328078.03125,4689334.5,5.0,193237.0,19,T
1582918357289892099,16,0,,42.3372802734,-71.0869216919,-12.5050001144,328078.125,4689334.0,5.0,193237.203125,19,T
1582918357489325927,17,0,,42.3372764587,-71.0869216919,-12.5209999084,328078.25,4689334.0,5.0,193237.40625,19,T
1582918357692302791,18,0,,42.3372764587,-71.0869216919,-12.5030002594,328078.375,4689334.0,5.0,193237.59375,19,T
1582918357892086191,19,0,,42.3372764587,-71.0869140625,-12.5080003738,328078.53125,4689334.0,5.0,193237.796875,19,T
1582918358096180764,20,0,,42.337272644,-71.0869140625,-12.5419998169,328078.65625,4689333.5,5.0,193238.0,19,T
1582918358297622082,21,0,,42.337272644,-71.0869140625,-12.4630002975,328078.78125,4689333.5,5.0,193238.203125,19,T
1582918358495386212,22,0,,42.3372688293,-71.0869140625,-12.5120000839,328078.875,4689333.0,5.0,193238.40625,19,T
1582918358705932220,23,0,,42.3372688293,-71.0869140625,-12.531999588,328079.0,4689333.0,5.0,193238.59375,19,T
1582918358896534094,24,0,,42.3372688293,-71.0869140625,-12.4709997177,328079.09375,4689333.0,5.0,193238.796875,19,T
1582918359097627785,25,0,,42.3372650146,-71.0869064331,-12.4870004654,328079.25,4689332.5,5.0,193239.0,19,T
1582918359289234688,26,0,,42.3372650146,-71.0869064331,-12.3830003738,328079.34375,4689332.5,5.0,193239.203125,19,T
1582918359490305526,27,0,,42.3372612,-71.0869064331,-12.3330001831,328079.46875,4689332.5,5.0,193239.40625,19,T
1582918359699899455,28,0,,42.3372612,-71.0869064331,-12.2849998474,328079.59375,4689332.0,5.0,193239.59375,19,T
1582918359899372005,29,0,,42.3372573853,-71.0869064331,-12.2609996796,328079.71875,4689332.0,5.0,193239.796875,19,T
1582918360099930179,30,0,,42.3372573853,-71.0868988037,-12.1739997864,328079.8125,4689331.5,5.0,193240.0,19,T
1582918360290562707,31,0,,42.3372535706,-71.0868988037,-12.0380001068,328079.9375,4689331.5,5.0,193240.203125,19,T
1582918360606900253,32,0,,42.3372535706,-71.0868988037,-11.9370002747,328080.03125,4689331.5,5.0,193240.40625,19,T
1582918360811451763,33,0,,42.3372497559,-71.0868988037,-11.7880001068,328080.125,4689331.0,5.0,193240.59375,19,T
1582918360900628359,34,0,,42.3372497559,-71.0868988037,-11.7569999695,328080.25,4689331.0,5.0,193240.796875,19,T
1582918361094946735,35,0,,42.3372459412,-71.0868911743,-11.6490001678,328080.34375,4689330.5,5.0,193241.0,19,T
1582918361430391376,36,0,,42.3372459412,-71.0868911743,-11.5530004501,328080.46875,4689330.5,5.0,193241.203125,19,T
1582918361500843285,37,0,,42.3372421265,-71.0868911743,-11.5030002594,328080.59375,4689330.0,5.0,193241.40625,19,T
1582918361827155211,38,0,,42.3372421265,-71.0868911743,-11.3509998322,328080.6875,4689330.0,5.0,193241.59375,19,T
1582918361896071601,39,0,,42.3372383118,-71.0868911743,-11.2259998322,328080.78125,4689329.5,5.0,193241.796875,19,T
1582918362222644654,40,0,,42.3372383118,-71.0868835449,-11.1940002441,328080.96875,4689329.5,5.0,193242.0,19,T
1582918362299888610,41,0,,42.3372344971,-71.0868835449,-11.107000351,328081.09375,4689329.5,5.0,193242.203125,19,T
1582918362613323269,42,0,,42.3372344971,-71.0868835449,-10.986000061,328081.25,4689329.0,5.0,193242.40625,19,T
